No.,Net Profit,Net % Profit,Exposure %,CAR,RAR,Max. Trade Drawdown,Max. Trade % Drawdown,Max. Sys Drawdown,Max. Sys % Drawdown,Recovery Factor,CAR/MDD,RAR/MDD,Profit Factor,Payoff Ratio,Standard Error,RRR,Ulcer Index,Ulcer Perf. Index,Sharpe Ratio,K-Ratio,# Trades,Avg Profit/Loss,Avg % Profit/Loss,Avg Bars Held,# of winners,% of Winners,W. Tot. Profit,W. Avg. Profit,W. Avg % Profit,W. Avg. Bars Held,# of losers,% of Losers,L. Tot. Loss,L. Avg. Loss,L. Avg % Loss,L. Avg. Bars Held,RS Lower Bound
7 (PVT),97178.78,19.44,6.82,1.67,24.42,-86485.32,-14.55,-151403.5,-25.45,0.64,0.07,0.96,2.1,3.35,33170.2,0.26,12.6,-0.3,1.22,0.0153,13,7475.29,2.9,18.92,5,38.46,185896.16,37179.23,11.56,33.2,8,61.54,-88717.38,-11089.67,-2.52,10,60
7 (BVS),96460.12,19.29,3.44,1.66,48.1,-114698.33,-16.22,-114787.34,-16.23,0.84,0.1,2.96,2.74,4.1,38646.54,0.42,13.23,-0.28,1.23,0.025,5,19292.02,6.08,24.4,2,40,152018.42,76009.21,20.96,46,3,60,-55558.3,-18519.43,-3.84,10,60
10 (S99),96245.44,19.25,1.29,1.65,128.34,-95377,-18.75,-95377,-13.79,1.01,0.12,9.31, N/A, N/A,11739.68,0.09,1.1,-3.42,5.29,0.0053,2,48122.72,34.55,41,2,100,96245.44,48122.72,34.55,41,0,0,0,  N/A,  N/A,  N/A,90
4 (KBC),96125.04,19.23,2.46,1.65,67.01,-62824.61,-9.49,-72818.29,-10.99,1.32,0.15,6.09,29.3,29.3,18066.55,0.11,1.6,-2.34,2.38,0.0068,2,48062.52,9.69,34,1,50,99521.56,99521.56,19.95,51,1,50,-3396.53,-3396.53,-0.57,17,30
3 (VIB),95848.34,19.17,2.09,1.65,78.9,-96784.87,-14.63,-96784.87,-13.97,0.99,0.12,5.65, N/A, N/A,18269.59,0.11,1.86,-2.02, N/A,0.0064,1,95848.34,20.47,60,1,100,95848.34,95848.34,20.47,60,0,0,0,  N/A,  N/A,  N/A,20
9 (PVD),93306.62,18.66,4.38,1.61,36.68,-39768.21,-7.86,-79921.59,-12.07,1.17,0.13,3.04,2.16,4.33,37655.7,0.33,8.11,-0.47,0.75,0.0195,6,15551.1,3.75,22,2,33.33,173549.31,86774.66,19.47,54.5,4,66.67,-80242.7,-20060.67,-4.11,5.75,80
8 (DVN),92634.56,18.53,1.1,1.59,144.46,-80693.07,-12.5,-80693.07,-12.49,1.15,0.13,11.57, N/A, N/A,21583.12,0.37,5.62,-0.68,15.82,0.0219,2,46317.28,17.69,29.5,2,100,92634.56,46317.28,17.69,29.5,0,0,0,  N/A,  N/A,  N/A,70
4 (NVL),92371.54,18.47,2.38,1.59,66.82,-25208.7,-4.19,-25208.7,-4.17,3.66,0.38,16.02, N/A, N/A,14281.5,0.1,0.4,-9.54, N/A,0.0058,1,92371.54,18.58,65,1,100,92371.54,92371.54,18.58,65,0,0,0,  N/A,  N/A,  N/A,30
3 (KBC),91784.6,18.36,1.98,1.58,79.96,-62824.61,-9.49,-72741.89,-10.98,1.26,0.14,7.28,12.86,12.86,17939.97,0.11,1.62,-2.35,2.49,0.0068,2,45892.3,9.33,27.5,1,50,99521.56,99521.56,19.95,51,1,50,-7736.96,-7736.96,-1.29,4,20
6 (FIT),90002.58,18,1.88,1.55,82.76,-121760.85,-18.03,-155007.25,-20.81,0.58,0.07,3.98,3.71,3.71,33600.31,0.48,12.74,-0.3,1.45,0.0288,2,45001.29,10.18,31.5,1,50,123248.98,123248.98,28.68,47,1,50,-33246.4,-33246.4,-8.32,16,50
10 (TTB),88547.18,17.71,3.26,1.53,46.95,-63136.8,-8.8,-150294.47,-20.94,0.59,0.07,2.24,1.74,4.34,33207.54,0.29,7.64,-0.51,0.73,0.0171,7,12649.6,2.99,14.29,2,28.57,208620.36,104310.18,21.98,32.5,5,71.43,-120073.17,-24014.63,-4.6,7,90
8 (REE),86885.27,17.38,1.69,1.5,88.67,-73743.61,-11.29,-73743.61,-11.28,1.18,0.13,7.86,13.51,27.03,27399.67,0.31,9.07,-0.43,2.07,0.0186,3,28961.76,5.58,17.33,1,33.33,93829.03,93829.03,19.07,41,2,66.67,-6943.76,-3471.88,-1.17,5.5,70
10 (PET),86596.79,17.32,1.46,1.5,102.68,-50247.66,-16.86,-50247.66,-8.28,1.72,0.18,12.4, N/A, N/A,23042.27,0.43,6.89,-0.57,2.43,0.0257,2,43298.39,24.95,42.5,2,100,86596.79,43298.39,24.95,42.5,0,0,0,  N/A,  N/A,  N/A,90
6 (GVR),84304.2,16.86,1.53,1.46,95.46,-62264.64,-9.64,-62264.64,-9.63,1.35,0.15,9.91, N/A, N/A,23070.35,0.21,3.1,-1.27,4.05,0.0126,2,42152.1,9.4,22,2,100,84304.2,42152.1,9.4,22,0,0,0,  N/A,  N/A,  N/A,50
8 (HPX),83319.2,16.66,1.84,1.44,78.58,-40617.1,-6.67,-40617.1,-6.56,2.05,0.22,11.97, N/A, N/A,17136.86,0.14,1.38,-2.87, N/A,0.0081,1,83319.2,16.96,51,1,100,83319.2,83319.2,16.96,51,0,0,0,  N/A,  N/A,  N/A,70
7 (HCM),83096.61,16.62,1.47,1.44,97.88,-49084.44,-11.96,-49084.44,-8.21,1.69,0.18,11.93, N/A, N/A,17114.83,0.64,3.15,-1.26,3.94,0.0385,3,27698.87,14.29,33.33,3,100,83096.61,27698.87,14.29,33.33,0,0,0,  N/A,  N/A,  N/A,60
9 (GEX),83012.75,16.6,2.1,1.44,68.44,-60351.16,-9.41,-60351.16,-9.4,1.38,0.15,7.28,6.64,9.96,10294.92,0.12,2.54,-1.56,1.59,0.007,5,16602.55,3.3,16.4,2,40,97725.73,48862.87,11.84,35.5,3,60,-14712.99,-4904.33,-2.4,3.67,80
8 (PVD),82740.47,16.55,4.24,1.44,33.86,-62867.41,-11.7,-169628.44,-22.61,0.49,0.06,1.5,1.55,3.09,45238.42,0.3,13.45,-0.29,1.16,0.018,9,9193.39,4.8,18.89,3,33.33,234134.44,78044.81,23.57,46.33,6,66.67,-151393.98,-25232.33,-4.58,5.17,70
7 (OIL),82352.7,16.47,1.75,1.43,81.52,-63091.75,-12.35,-63091.75,-10.05,1.31,0.14,8.11,6.72,6.72,16806.65,0.07,1.83,-2.18,2.2,0.004,2,41176.35,11.32,29.5,1,50,96747.33,96747.33,25.53,54,1,50,-14394.63,-14394.63,-2.88,5,60
7 (GVR),82204.73,16.44,3.19,1.43,44.76,-67808.75,-11.72,-121348.46,-17.25,0.68,0.08,2.59,2.5,2.5,26882.78,0.22,5.26,-0.76,1.36,0.0129,8,10275.59,3.64,19,4,50,136966.49,34241.62,11.05,31.25,4,50,-54761.76,-13690.44,-3.78,6.75,60
8 (TDH),81814.61,16.36,1.96,1.42,72.57,-69262.04,-18.1,-69262.04,-11.08,1.18,0.13,6.55,5.79,1.93,21419.33,0.22,7.18,-0.55,2.99,0.0135,4,20453.65,8.08,26.25,3,75,98878.35,32959.45,11.92,28.67,1,25,-17063.74,-17063.74,-3.42,19,70
7 (DPM),81785.1,16.36,1.99,1.42,71.34,-38136.7,-7.59,-72023.16,-13.82,1.14,0.1,5.16,2.69,4.04,14648.83,-0.35,10.8,-0.37,1.28,-0.0209,5,16357.02,3.76,11.8,2,40,130062.92,65031.46,14.45,19.5,3,60,-48277.81,-16092.6,-3.36,6.67,60
9 (KDH),81256.21,16.25,3.85,1.41,36.68,-62864.36,-12.9,-62864.36,-11.38,1.29,0.12,3.22,21,14,13562.94,0.39,8.15,-0.49,1.99,0.0236,10,8125.62,3.64,24.3,6,60,85319.26,14219.88,7.13,34,4,40,-4063.05,-1015.76,-1.59,9.75,80
10 (TTF),80777.67,16.16,1.04,1.4,134.35,-40101.64,-6.49,-40101.64,-6.48,2.01,0.22,20.72, N/A, N/A,12234.55,0.08,6.01,-0.67, N/A,0.005,1,80777.67,16.19,29,1,100,80777.67,80777.67,16.19,29,0,0,0,  N/A,  N/A,  N/A,90
7 (SHS),80674.45,16.13,2.46,1.4,56.97,-126709.62,-23.05,-141094.52,-25.67,0.57,0.05,2.22,1.75,2.62,43579.89,0.33,12.87,-0.31,0.89,0.0199,10,8067.44,8.28,17.2,4,40,188704.92,47176.23,31.51,29.75,6,60,-108030.47,-18005.08,-7.2,8.83,60
6 (VCG),78517.52,15.7,5.33,1.37,25.62,-118616.94,-20.27,-174709.11,-23.72,0.45,0.06,1.08,1.55,1.93,48335.1,0.13,15.54,-0.26,0.74,0.0078,9,8724.17,3.79,20.44,4,44.44,222298.12,55574.53,14.35,34.75,5,55.56,-143780.6,-28756.12,-4.66,9,50
9 (VND),77217.6,15.44,2.37,1.35,56.71,-39182.95,-12.65,-58791.64,-11.45,1.31,0.12,4.95,3.28,6.56,24254.9,0.27,1.92,-2.11,1.03,0.016,6,12869.6,3.27,16.67,2,33.33,111119.11,55559.56,15.57,37.5,4,66.67,-33901.51,-8475.38,-2.87,6.25,80
9 (BVS),76676.88,15.34,1.11,1.34,120.35,-57385.16,-15.38,-57385.16,-9.15,1.34,0.15,13.16,71.7,71.7,22283.73,0.38,6.72,-0.6,2.12,0.023,2,38338.44,14.55,36,1,50,77761.48,77761.48,31.68,53,1,50,-1084.6,-1084.6,-2.58,19,80
6 (PXS),76456.59,15.29,1.29,1.33,103.67,-39876.26,-10.71,-39876.26,-6.55,1.92,0.2,15.83, N/A, N/A,18188.36,0.58,3.77,-1.08,7.42,0.0348,2,38228.29,10.58,30.5,2,100,76456.59,38228.29,10.58,30.5,0,0,0,  N/A,  N/A,  N/A,50
2 (FLC),76250.16,15.25,0.93,1.33,142.5,-26869.1,-4.98,-26869.1,-4.98,2.84,0.27,28.6, N/A, N/A,3214.25,0.04,0.28,-14.56, N/A,0.0024,1,76250.16,15.27,26,1,100,76250.16,76250.16,15.27,26,0,0,0,  N/A,  N/A,  N/A,10
8 (HID),76171.84,15.23,1.49,1.33,89.13,-82995.17,-20.99,-82995.17,-12.62,0.92,0.11,7.07,2612.65,1306.32,19449.02,0.5,7.12,-0.57,2.81,0.0302,3,25390.61,8.46,23.67,2,66.67,76201.01,38100.5,12.79,33,1,33.33,-29.17,-29.17,-0.2,5,70
9 (CTG),75264.06,15.05,1.87,1.31,70.22,-77130.09,-11.93,-77130.09,-11.92,0.98,0.11,5.89,3.49,1.16,18309.88,0.53,7.19,-0.57,2.32,0.0319,4,18816.01,4.1,13.75,3,75,105496.51,35165.5,7.48,16.33,1,25,-30232.45,-30232.45,-6.06,6,80
5 (GMD),74064.65,14.81,2.61,1.29,49.66,-59723.29,-9.95,-59723.29,-9.51,1.24,0.14,5.22,9.25,4.62,14514.55,0.12,2.06,-2,2.12,0.0072,3,24688.22,5.2,25,2,66.67,83044.34,41522.17,8.69,36.5,1,33.33,-8979.69,-8979.69,-1.8,2,40
7 (TCM),73682.71,14.74,1.77,1.29,72.62,-98703.65,-14.29,-117341.83,-16.98,0.63,0.08,4.28,3.55,5.32,26495.85,0.4,11.88,-0.35,1.45,0.0237,5,14736.54,2.92,13,2,40,102627.98,51313.99,10.56,26,3,60,-28945.27,-9648.42,-2.16,4.33,60
