No.,Net Profit,Net % Profit,Exposure %,CAR,RAR,Max. Trade Drawdown,Max. Trade % Drawdown,Max. Sys Drawdown,Max. Sys % Drawdown,Recovery Factor,CAR/MDD,RAR/MDD,Profit Factor,Payoff Ratio,Standard Error,RRR,Ulcer Index,Ulcer Perf. Index,Sharpe Ratio,K-Ratio,# Trades,Avg Profit/Loss,Avg % Profit/Loss,Avg Bars Held,# of winners,% of Winners,W. Tot. Profit,W. Avg. Profit,W. Avg % Profit,W. Avg. Bars Held,# of losers,% of Losers,L. Tot. Loss,L. Avg. Loss,L. Avg % Loss,L. Avg. Bars Held,RS Lower Bound
9 (NVB),121001.9,24.2,3.68,2.04,55.38,-33726.24,-15.24,-33726.24,-5.53,3.59,0.37,10.02,4.04,5.39,29945.02,0.32,2.59,-1.3,0.63,0.0192,14,8642.99,2.72,18.43,6,42.86,160797.11,26799.52,13.24,32.67,8,57.14,-39795.21,-4974.4,-5.16,7.75,80
6 (FIT),120814.14,24.16,1.53,2.03,133.26,-121760.85,-18.03,-124195.69,-16.67,0.97,0.12,7.99,50.62,101.24,33326.69,0.49,12.72,-0.26,2.01,0.0292,3,40271.38,8.14,17.67,1,33.33,123248.98,123248.98,28.68,47,2,66.67,-2434.84,-1217.42,-2.13,3,50
10 (PNJ),120179.45,24.04,8.28,2.02,24.45,-55930.14,-12.5,-85320.52,-12.11,1.41,0.17,2.02,2.6,3.47,27778.33,0.54,4.3,-0.79,1,0.0321,21,5722.83,3.89,24.81,9,42.86,195248.76,21694.31,12.57,41.11,12,57.14,-75069.31,-6255.78,-2.61,12.58,90
5 (CTD),119966.85,23.99,1.56,2.02,129.18,-95108.48,-13.32,-95108.48,-13.3,1.26,0.15,9.71, N/A, N/A,23708.02,0.12,2.35,-1.44, N/A,0.0071,1,119966.85,24.08,43,1,100,119966.85,119966.85,24.08,43,0,0,0,  N/A,  N/A,  N/A,40
10 (C69),117976.32,23.6,1.76,1.99,113.02,-210133.94,-25.86,-266350.87,-31.3,0.44,0.06,3.61,3.21,6.42,34688.59,0.17,8.82,-0.39,0.88,0.0101,6,19662.72,7,21.17,2,33.33,171354.19,85677.09,40.08,31.5,4,66.67,-53377.87,-13344.47,-9.55,16,90
7 (HDG),115467.95,23.09,2.78,1.95,70.22,-49180.56,-9.34,-49180.56,-8.11,2.35,0.24,8.66, N/A, N/A,30345.69,0.25,1.77,-1.95,4.22,0.0152,4,28866.99,8.53,28,4,100,115467.95,28866.99,8.53,28,0,0,0,  N/A,  N/A,  N/A,60
7 (CTG),115270.38,23.05,5.27,1.95,36.98,-29090.71,-7.41,-50313.95,-8.67,2.29,0.22,4.27,4.15,8.29,19422.49,0.13,5.83,-0.59,1.09,0.008,12,9605.87,1.66,14.58,4,33.33,151916.74,37979.19,7.5,26,8,66.67,-36646.36,-4580.8,-1.26,8.88,60
7 (DRC),115192.85,23.04,2.44,1.95,79.71,-46055.1,-11.5,-52586.31,-8.43,2.19,0.23,9.46,42.63,10.66,16974.52,0.45,3.81,-0.91,2.44,0.027,5,23038.57,6.83,23.6,4,80,117960.03,29490.01,9.26,26,1,20,-2767.18,-2767.18,-2.92,14,60
7 (DAH),114811.46,22.96,1.51,1.94,128.34,-262177.56,-29.92,-262177.56,-29.9,0.44,0.06,4.29, N/A, N/A,27162.36,0.1,4.54,-0.76,2.99,0.0062,3,38270.49,9.38,25,3,100,114811.46,38270.49,9.38,25,0,0,0,  N/A,  N/A,  N/A,60
8 (VGC),114709.94,22.94,4.78,1.94,40.61,-63863.29,-11.97,-75885.68,-14.2,1.51,0.14,2.86,4.44,5.92,22105.08,0.18,3.7,-0.93,1,0.0106,7,16387.13,2.81,23.29,3,42.86,148048.19,49349.4,11.02,37.67,4,57.14,-33338.25,-8334.56,-3.35,12.5,70
