No.,Net Profit,Net % Profit,Exposure %,CAR,RAR,Max. Trade Drawdown,Max. Trade % Drawdown,Max. Sys Drawdown,Max. Sys % Drawdown,Recovery Factor,CAR/MDD,RAR/MDD,Profit Factor,Payoff Ratio,Standard Error,RRR,Ulcer Index,Ulcer Perf. Index,Sharpe Ratio,K-Ratio,# Trades,Avg Profit/Loss,Avg % Profit/Loss,Avg Bars Held,# of winners,% of Winners,W. Tot. Profit,W. Avg. Profit,W. Avg % Profit,W. Avg. Bars Held,# of losers,% of Losers,L. Tot. Loss,L. Avg. Loss,L. Avg % Loss,L. Avg. Bars Held,RS Lower Bound
9 (DIG),270337.67,54.07,8.23,4.1,49.87,-109313.24,-12.43,-172405.56,-19.28,1.57,0.21,2.59,3.28,4.51,69061.28,0.51,9.47,-0.14,1.04,0.0306,19,14228.3,6.2,24,8,42.11,388788.69,48598.59,19.97,37.38,11,57.89,-118451.02,-10768.27,-3.82,14.27,80
8 (CII),269330.33,53.87,11.53,4.09,35.49,-78756.47,-10.71,-130638.15,-14.7,2.06,0.28,2.42,3.01,3.52,66858.29,0.59,10.66,-0.12,0.81,0.0355,13,20717.72,4.22,26.69,6,46.15,403034.6,67172.43,12.67,43.5,7,53.85,-133704.27,-19100.61,-3.03,12.29,70
9 (HDC),267335.38,53.47,3.42,4.07,118.84,-63296.81,-12.5,-107223.4,-16.47,2.49,0.25,7.21,6.48,12.96,25609.77,0.15,4.07,-0.33,1,0.0093,12,22277.95,3.67,15.25,4,33.33,316136.25,79034.06,18.12,26.75,8,66.67,-48800.88,-6100.11,-3.56,9.5,80
8 (CTR),266992.33,53.4,1.67,4.06,243.55,-232936.13,-26.61,-232936.13,-23.3,1.15,0.17,10.46, N/A, N/A,74659.96,0.21,7.42,-0.18, N/A,0.0124,1,266992.33,71.16,56,1,100,266992.33,266992.33,71.16,56,0,0,0,  N/A,  N/A,  N/A,70
9 (FPT),264433.91,52.89,10.61,4.03,37.97,-49285.6,-9.91,-64147.06,-10,4.12,0.4,3.8,4.44,6.66,35912.9,0.72,4.33,-0.32,0.96,0.0433,20,13221.7,3.44,21.5,8,40,341356.93,42669.62,11.76,40.5,12,60,-76923.01,-6410.25,-2.1,8.83,80
8 (NDN),263722.84,52.74,8.01,4.02,50.22,-54689.11,-21.23,-92300.96,-16.5,2.86,0.24,3.04,3.47,3.18,36873.55,0.25,7.6,-0.18,1.44,0.0148,23,11466.21,6.73,24.96,12,52.17,370556.37,30879.7,15.93,40.42,11,47.83,-106833.53,-9712.14,-3.3,8.09,70
9 (HBC),258467.34,51.69,6.59,3.95,60.03,-87832.1,-14.31,-172994.59,-28.15,1.49,0.14,2.13,2.33,5.24,79905.38,0.42,9.88,-0.15,0.88,0.0251,13,19882.1,7.32,24.46,4,30.77,453072.23,113268.06,37.43,59.5,9,69.23,-194604.89,-21622.77,-6.06,8.89,80
9 (DXG),252348.8,50.47,4.74,3.88,81.81,-110169.65,-23.78,-163230.97,-18.25,1.55,0.21,4.48,3.89,2.92,70584.13,0.46,9.18,-0.17,1.77,0.0278,7,36049.83,18.19,34.86,4,57.14,339587.32,84896.83,35.34,54,3,42.86,-87238.53,-29079.51,-4.68,9.33,80
6 (FLC),248536.43,49.71,5.23,3.83,73.23,-162662.18,-17.86,-218909.42,-25.17,1.14,0.15,2.91,3.06,6.13,64126.88,0.44,11.19,-0.14,1.3,0.0265,9,27615.16,5.6,16.56,3,33.33,368980.03,122993.34,23.11,40.33,6,66.67,-120443.6,-20073.93,-3.16,4.67,50
9 (VGI),248375.48,49.68,2.69,3.82,142.1,-122996.88,-20.65,-122996.88,-16.22,2.02,0.24,8.76, N/A, N/A,67682.64,0.25,3.08,-0.51,3.64,0.0152,2,124187.74,31.22,44,2,100,248375.48,124187.74,31.22,44,0,0,0,  N/A,  N/A,  N/A,80
