No.,Net Profit,Net % Profit,Exposure %,CAR,RAR,Max. Trade Drawdown,Max. Trade % Drawdown,Max. Sys Drawdown,Max. Sys % Drawdown,Recovery Factor,CAR/MDD,RAR/MDD,Profit Factor,Payoff Ratio,Standard Error,RRR,Ulcer Index,Ulcer Perf. Index,Sharpe Ratio,K-Ratio,# Trades,Avg Profit/Loss,Avg % Profit/Loss,Avg Bars Held,# of winners,% of Winners,W. Tot. Profit,W. Avg. Profit,W. Avg % Profit,W. Avg. Bars Held,# of losers,% of Losers,L. Tot. Loss,L. Avg. Loss,L. Avg % Loss,L. Avg. Bars Held,nDay Buy Delay
4 (HAG),975426.98,195.09,40.25,10.6,26.32,-250219.53,-27.64,-360281.2,-46.66,2.71,0.23,0.56,2.02,3.57,140792.74,0.35,22.29,0.23,0.56,0.0209,61,15990.61,2.62,19.03,22,36.07,1936052.18,88002.37,14.65,31.68,39,63.93,-960625.2,-24631.42,-4.17,11.9,3
11 (VNM),973565.99,194.71,42.46,10.58,24.92,-212349.3,-17.54,-432990.28,-28.4,2.25,0.37,0.88,2.42,4.21,137948.86,0.72,11.53,0.45,0.76,0.0432,52,18722.42,3.3,28.19,19,36.54,1657935.31,87259.75,12.71,45.68,33,63.46,-684369.32,-20738.46,-2.12,18.12,10
6 (HBC),970480.77,194.1,26.37,10.56,40.05,-503017.51,-21.11,-1423216.53,-58.01,0.68,0.18,0.69,1.8,2.8,361337.43,0.38,20.48,0.25,0.69,0.0226,46,21097.41,4.66,26.54,18,39.13,2180913.65,121161.87,19.54,45.44,28,60.87,-1210432.88,-43229.75,-4.91,14.39,5
9 (FLC),954430.06,190.89,38.21,10.45,27.34,-543434.02,-58.26,-801778.61,-62.36,1.19,0.17,0.44,1.8,3.03,155101.37,0.69,23.51,0.21,0.53,0.0415,43,22196.05,5.23,26.7,16,37.21,2154075.03,134629.69,24.4,38.38,27,62.79,-1199644.98,-44431.3,-6.13,19.78,8
8 (VIC),953102.61,190.62,41.98,10.44,24.86,-163363.2,-19.71,-378162.56,-29.07,2.52,0.36,0.86,2.14,3.57,255799.28,0.44,12.77,0.39,0.69,0.0263,64,14892.23,2.68,23.58,24,37.5,1788198.12,74508.26,11.95,38.88,40,62.5,-835095.51,-20877.39,-2.88,14.4,7
9 (VIC),948132.52,189.63,42.93,10.4,24.24,-158226,-19.71,-306311.73,-37.12,3.1,0.28,0.65,2.27,2.94,254153.15,0.44,17.3,0.29,0.73,0.0263,62,15292.46,2.81,23.97,27,43.55,1697194.82,62859.07,10.65,36.44,35,56.45,-749062.3,-21401.78,-3.23,14.34,8
3 (KSB),938658.04,187.73,16.1,10.34,64.19,-285740.27,-27.13,-414501.75,-33.08,2.26,0.31,1.94,2.87,5.1,144607.71,0.46,14.28,0.35,0.95,0.0275,25,37546.32,6.05,23.92,9,36,1440681.08,160075.68,24.01,40.67,16,64,-502023.03,-31376.44,-4.06,14.5,2
2 (HBC),933943.2,186.79,25.2,10.3,40.88,-459133.76,-20.51,-1279615.81,-57.13,0.73,0.18,0.72,1.75,2.97,329067.44,0.37,19.62,0.25,0.7,0.0221,54,17295.24,4.31,22.43,20,37.04,2181445.8,109072.29,19.61,40.6,34,62.96,-1247502.6,-36691.25,-4.69,11.74,1
6 (HPG),933969.72,186.79,32.08,10.3,32.11,-237684.66,-17.76,-437621.16,-29.89,2.13,0.34,1.07,2.56,3.54,184276.47,0.5,10.64,0.46,0.6,0.0303,62,15064.03,3.39,23.92,26,41.94,1533151.6,58967.37,13.2,36.58,36,58.06,-599181.88,-16643.94,-3.69,14.78,5
2 (HUT),927147.1,185.43,25.96,10.25,39.49,-275059.33,-48.1,-715571.42,-46.62,1.3,0.22,0.85,2.11,2.34,162681.06,0.49,17.08,0.28,0.99,0.0296,59,15714.36,4.56,20.88,28,47.46,1762142.43,62933.66,14.74,33.25,31,52.54,-834995.33,-26935.33,-4.64,9.71,1
9 (VJC),924299.66,184.86,21.62,10.23,47.33,-217120.68,-14.1,-404057.81,-24.84,2.29,0.41,1.91,3.42,3.42,241522.63,0.38,7.03,0.69,0.7,0.023,18,51349.98,8.93,33.33,9,50,1306569.22,145174.36,20.91,44,9,50,-382269.56,-42474.4,-3.06,22.67,8
6 (HCM),923109.59,184.62,22.15,10.22,46.17,-176585.11,-47.09,-328766.97,-25.15,2.81,0.41,1.84,2.53,3.37,158930.65,0.53,12.59,0.38,0.42,0.0319,56,16484.1,3.37,26.11,24,42.86,1528341.03,63680.88,18.04,39.29,32,57.14,-605231.44,-18913.48,-7.63,16.22,5
4 (FIT),922853.62,184.57,20.36,10.22,50.22,-454377.28,-24.87,-898521.05,-58.87,1.03,0.17,0.85,1.7,2.84,189868.27,0.47,27.35,0.18,0.68,0.0283,40,23071.34,4.95,19.57,15,37.5,2235887.83,149059.19,24.4,35.93,25,62.5,-1313034.21,-52521.37,-6.72,9.76,3
3 (HAG),917128.9,183.43,39.65,10.18,25.68,-240329.43,-24.48,-386460.04,-46.95,2.37,0.22,0.55,1.96,3.35,128735.74,0.38,20.97,0.23,0.56,0.0229,65,14109.68,2.26,17.4,24,36.92,1871524.44,77980.19,12.53,30.5,41,63.08,-954395.54,-23277.94,-3.76,9.73,2
7 (DRH),917085.97,183.42,12.46,10.18,81.68,-568468.22,-45.82,-905139.12,-43.69,1.01,0.23,1.87,3.09,5.14,250944.29,0.47,21.62,0.22,0.28,0.0283,40,22927.15,5.52,30.35,15,37.5,1356907.78,90460.52,31.34,33,25,62.5,-439821.81,-17592.87,-9.97,28.76,6
8 (VCB),911390.15,182.28,45.16,10.14,22.45,-215169.84,-20.84,-481270.34,-42.03,1.89,0.24,0.53,2.15,3.55,127567.2,0.65,17.78,0.27,0.53,0.0389,53,17196.04,2.56,28.11,20,37.74,1703237.85,85161.89,13.14,44.3,33,62.26,-791847.7,-23995.38,-3.85,18.3,7
10 (VIC),900281.35,180.06,37.94,10.06,26.51,-144869.26,-20.45,-248542.11,-32.3,3.62,0.31,0.82,2.38,2.62,212779.03,0.47,12.56,0.37,0.82,0.028,61,14758.71,3.07,23.46,29,47.54,1554716.9,53610.93,9.85,32.66,32,52.46,-654435.55,-20451.11,-3.08,15.13,9
8 (BVH),881004.74,176.2,38.59,9.92,25.69,-269503.46,-40.9,-493099.15,-49.96,1.79,0.2,0.51,1.68,2.49,133653.39,0.68,18.37,0.25,0.52,0.0409,57,15456.22,3.19,23.86,23,40.35,2171390.19,94408.27,14.95,33.87,34,59.65,-1290385.45,-37952.51,-4.76,17.09,7
2 (MWG),878987.3,175.8,23.6,9.9,41.95,-174479.35,-19.77,-243269.89,-25.49,3.61,0.39,1.65,3.88,2.74,106847.49,0.54,6.32,0.71,1.09,0.0322,29,30309.91,6.54,30.31,17,58.62,1183896.94,69641,13.61,39.94,12,41.38,-304909.64,-25409.14,-3.47,16.67,1
4 (HPG),871188.8,174.24,31.78,9.84,30.97,-210834.3,-17.76,-511661.82,-34.38,1.7,0.29,0.9,2.15,3.36,163914.05,0.52,12.78,0.35,0.59,0.0311,64,13612.33,3.54,24,25,39.06,1626546.37,65061.85,14.99,40.6,39,60.94,-755357.56,-19368.14,-3.8,13.36,3
3 (DBC),869252.43,173.85,9,9.83,109.21,-412275.47,-24.91,-590783.06,-31.81,1.47,0.31,3.43,4,9.69,124227.69,0.3,7.82,0.57,0.47,0.0182,65,13373.11,3.17,17.77,19,29.23,1158856.24,60992.43,19.85,33.58,46,70.77,-289603.82,-6295.74,-3.73,11.24,2
9 (PDR),857382.01,171.48,21.55,9.74,45.21,-148804.21,-13.43,-278565.3,-25.15,3.08,0.39,1.8,3.52,4.35,116485.78,0.47,9.19,0.47,0.71,0.028,38,22562.68,3.13,22.24,17,44.74,1197873.61,70463.15,10.65,31.71,21,55.26,-340491.6,-16213.89,-2.96,14.57,8
6 (PVS),851800.24,170.36,43.76,9.7,22.16,-920003.17,-46.75,-1077321.92,-50.66,0.79,0.19,0.44,1.43,2.2,236075.54,0.63,24.93,0.17,0.38,0.0376,61,13963.94,2.41,23.18,24,39.34,2839005.47,118291.89,15.78,36.88,37,60.66,-1987205.23,-53708.25,-6.27,14.3,5
4 (KSB),848993.16,169.8,14.94,9.68,64.75,-278256.6,-27.13,-452275.48,-29.35,1.88,0.33,2.21,2.68,3.48,141735.41,0.51,12.12,0.35,0.9,0.0306,23,36912.75,5.92,26.96,10,43.48,1354214.62,135421.46,20.67,41,13,56.52,-505221.46,-38863.19,-5.42,16.15,3
9 (HPG),848076.48,169.62,29.95,9.67,32.28,-208753.45,-18.63,-487740.39,-31.45,1.74,0.31,1.03,2.27,2.45,188871.78,0.48,10.33,0.41,0.68,0.0288,54,15705.12,4.14,27.26,26,48.15,1515266.43,58279.48,13.33,39.31,28,51.85,-667189.95,-23828.21,-4.4,16.07,8
5 (SSI),846294.4,169.26,44.67,9.66,21.62,-316357.52,-23.24,-628704.23,-35.55,1.35,0.27,0.61,1.66,2.95,135505.77,0.9,13.49,0.32,0.5,0.0538,61,13873.68,2.09,22.33,22,36.07,2119581.21,96344.6,12.37,40.5,39,63.93,-1273286.81,-32648.38,-3.71,12.08,4
7 (PVS),842300.2,168.46,47.25,9.63,20.37,-881503.76,-46.75,-893991.49,-52.76,0.94,0.18,0.39,1.48,2.43,206011.56,0.62,28.67,0.15,0.36,0.0369,58,14522.42,2.64,25.97,22,37.93,2583294.2,117422.46,17.55,39.73,36,62.07,-1740993.99,-48360.94,-6.47,17.56,6
5 (HAG),841320.72,168.26,40.95,9.62,23.49,-287999.71,-32.05,-401730.28,-42.01,2.09,0.23,0.56,1.78,2.63,120156.61,0.34,22.67,0.19,0.53,0.0203,57,14760.01,2.77,21.12,23,40.35,1923944.39,83649.76,14.13,32.13,34,59.65,-1082623.67,-31841.87,-4.91,13.68,4
1 (DIG),840614.13,168.12,26.06,9.61,36.89,-181723.08,-17.5,-289207.65,-27.95,2.91,0.34,1.32,2.4,4,156660.5,0.58,17.07,0.25,0.7,0.0346,64,13134.6,3.02,20.47,24,37.5,1439975.67,59998.99,14.71,35.88,40,62.5,-599361.53,-14984.04,-3.99,11.23,0
3 (FIT),838833.03,167.77,20.65,9.6,46.49,-329230.44,-26.11,-897096.79,-65.14,0.94,0.15,0.71,1.68,3.48,176502.91,0.4,29.48,0.14,0.66,0.0237,43,19507.74,4.66,18.53,14,32.56,2072282.53,148020.18,27.08,35.29,29,67.44,-1233449.5,-42532.74,-6.17,10.45,2
3 (HPG),832258.36,166.45,32.87,9.55,29.05,-205188.74,-17.6,-522626.54,-35.22,1.59,0.27,0.82,2.14,3.75,142623.62,0.57,13.14,0.32,0.59,0.0344,66,12609.98,3.5,24.17,24,36.36,1561819.52,65075.81,15.95,41.46,42,63.64,-729561.15,-17370.5,-3.61,14.29,2
2 (CTG),825572.5,165.11,42.39,9.5,22.41,-170158.01,-14.43,-284965.72,-31.09,2.9,0.31,0.72,1.86,3.78,114930.04,0.62,14.9,0.28,0.42,0.0369,79,10450.28,1.45,18.57,26,32.91,1790886.54,68880.25,10.84,31.5,53,67.09,-965314.04,-18213.47,-3.15,12.23,1
5 (DXG),817847.61,163.57,29.65,9.44,31.84,-389783.11,-36.07,-1110883.25,-51.5,0.74,0.18,0.62,1.59,1.87,242471.36,0.49,17.4,0.23,0.55,0.0291,48,17038.49,4.11,27.13,22,45.83,2212329.84,100560.45,17.88,38.23,26,54.17,-1394482.22,-53633.93,-7.54,17.73,4
7 (KSB),811585.13,162.32,13.99,9.39,67.11,-306150.29,-27.13,-391636.9,-34.69,2.07,0.27,1.93,3.32,7.59,130437.33,0.49,13.69,0.29,0.76,0.0296,23,35286.31,4.24,23.96,7,30.43,1161035.54,165862.22,23.12,43.43,16,69.57,-349450.41,-21840.65,-4.02,15.44,6
4 (MWG),807770.61,161.55,22.8,9.36,41.05,-169209.28,-21.33,-224524.11,-23.2,3.6,0.4,1.77,3.85,3.34,100290.96,0.57,6.49,0.61,1.19,0.034,28,28848.95,7.04,33.21,15,53.57,1090962.05,72730.8,15.43,46.33,13,46.43,-283191.44,-21783.96,-2.64,18.08,3
4 (HBC),806377.09,161.28,26.59,9.35,35.16,-450905.56,-21.7,-1288710.2,-58.62,0.63,0.16,0.6,1.74,2.13,296237.88,0.38,21.04,0.19,0.72,0.0226,49,16456.68,4.65,25.16,22,44.9,1900193.52,86372.43,16.29,39.77,27,55.1,-1093816.43,-40511.72,-4.83,13.26,3
3 (DIG),785231.1,157.05,26.61,9.18,34.51,-153203.16,-18.18,-323394.7,-24.62,2.43,0.37,1.4,2.53,3.04,133579.1,0.55,11.1,0.34,0.66,0.0327,55,14276.93,3.41,25.05,25,45.45,1298654.78,51946.19,13.84,36.4,30,54.55,-513423.68,-17114.12,-5.28,15.6,2
3 (SSI),784860.68,156.97,41.98,9.18,21.87,-262827.17,-18.31,-479343.36,-33.65,1.64,0.27,0.65,1.56,2.39,110926.18,0.93,15.44,0.24,0.45,0.056,66,11891.83,1.78,19.11,26,39.39,2195522.1,84443.16,11.25,37.12,40,60.61,-1410661.41,-35266.54,-4.38,7.4,2
1 (PVC),784378.04,156.88,13.63,9.18,67.32,-298690.93,-26.18,-387306.51,-33.93,2.03,0.27,1.98,2.13,3.4,103088.9,0.62,18.54,0.2,0.59,0.0369,78,10056.13,3.26,16.45,30,38.46,1480120.83,49337.36,16.01,29.87,48,61.54,-695742.79,-14494.64,-4.71,8.06,0
3 (HBC),784167.92,156.83,24.71,9.18,37.14,-420735.48,-20.51,-1202253.82,-58.57,0.65,0.16,0.63,1.67,2.76,298427.81,0.35,19.98,0.19,0.77,0.021,53,14795.62,4.6,21.92,20,37.74,1951677.62,97583.88,19.6,41.1,33,62.26,-1167509.7,-35379.08,-4.49,10.3,2
2 (PVT),780926.49,156.19,26.88,9.15,34.04,-163446.61,-26.81,-460961.3,-43.15,1.69,0.21,0.79,2.11,3.32,77970.14,0.69,20.42,0.18,0.73,0.0412,67,11655.62,4,20.43,26,38.81,1485942.45,57151.63,16.64,37.88,41,61.19,-705015.96,-17195.51,-4.02,9.37,1
1 (KDC),780350.24,156.07,29.01,9.14,31.53,-159503.7,-16.1,-223199.76,-34.29,3.5,0.27,0.92,2.51,5.14,99286.27,0.32,14.26,0.26,0.64,0.0189,64,12192.97,2.88,19.56,21,32.81,1296539.08,61739.96,15.11,38.81,43,67.19,-516188.84,-12004.39,-3.1,10.16,0
1 (VIC),772500.7,154.5,42.02,9.08,21.61,-286396,-17.42,-596417.16,-32.53,1.3,0.28,0.66,1.67,2.68,175343.25,0.48,15.29,0.24,0.65,0.029,86,8982.57,2.3,17.7,33,38.37,1926542.52,58380.08,10.39,32.58,53,61.63,-1154041.82,-21774.37,-2.73,8.43,0
3 (DXG),768652.7,153.73,29.1,9.05,31.11,-384803.53,-24.14,-1316899.92,-55.8,0.58,0.16,0.56,1.48,2.09,266590.31,0.46,20.08,0.18,0.6,0.0273,53,14502.88,3.95,23.53,22,41.51,2354988.28,107044.92,18.45,38.77,31,58.49,-1586335.57,-51172.12,-6.34,12.71,2
5 (HPG),766290.03,153.26,30.6,9.03,29.52,-207400.51,-17.6,-372446.71,-28.85,2.06,0.31,1.02,2.31,4.63,154041.06,0.48,11.52,0.32,0.53,0.0289,63,12163.33,3.15,23.95,21,33.33,1349182.89,64246.8,16.84,43.81,42,66.67,-582892.87,-13878.4,-3.7,14.02,4
2 (DIG),764092.28,152.82,26.85,9.02,33.58,-150278.04,-17.5,-366972.62,-27.35,2.08,0.33,1.23,2.39,3.85,154235.19,0.48,13.89,0.26,0.66,0.0288,60,12734.87,3.29,22.37,23,38.33,1312664.35,57072.36,15.59,36.65,37,61.67,-548572.08,-14826.27,-4.35,13.49,1
2 (SSI),761412.72,152.28,40.9,8.99,21.99,-263746.14,-18.31,-436024.67,-29.04,1.75,0.31,0.76,1.53,2.58,98440.49,0.88,15.47,0.23,0.48,0.0527,67,11364.37,1.99,19.73,25,37.31,2188797.59,87551.9,12.52,38.36,42,62.69,-1427384.87,-33985.35,-4.28,8.64,1
7 (CTG),759366.12,151.87,39.04,8.98,23,-242848.88,-24.35,-322577.21,-29.95,2.35,0.3,0.77,1.96,3.92,74472.7,0.75,12.16,0.29,0.32,0.0452,66,11505.55,1.28,20.27,22,33.33,1550727.15,70487.6,10.34,31.55,44,66.67,-791361.03,-17985.48,-3.24,14.64,6
4 (HCM),758325.16,151.67,20.17,8.97,44.47,-167937.57,-21.75,-281841.83,-25.41,2.69,0.35,1.75,2.26,3.16,136951.5,0.45,10.63,0.34,0.67,0.0269,60,12638.75,4.29,22.27,25,41.67,1362138.44,54485.54,17.93,38.76,35,58.33,-603813.27,-17251.81,-5.45,10.49,3
