No.,Net Profit,Net % Profit,Exposure %,CAR,RAR,Max. Trade Drawdown,Max. Trade % Drawdown,Max. Sys Drawdown,Max. Sys % Drawdown,Recovery Factor,CAR/MDD,RAR/MDD,Profit Factor,Payoff Ratio,Standard Error,RRR,Ulcer Index,Ulcer Perf. Index,Sharpe Ratio,K-Ratio,# Trades,Avg Profit/Loss,Avg % Profit/Loss,Avg Bars Held,# of winners,% of Winners,W. Tot. Profit,W. Avg. Profit,W. Avg % Profit,W. Avg. Bars Held,# of losers,% of Losers,L. Tot. Loss,L. Avg. Loss,L. Avg % Loss,L. Avg. Bars Held,nDay Buy Delay
10 (FPT),225624.44,45.12,36.71,3.53,9.61,-162846.97,-29.47,-361695.3,-39.11,0.62,0.09,0.25,1.4,2.12,64281.58,0.51,14.08,-0.13,0.02,0.0305,58,3890.08,0.6,27.64,23,39.66,796442.21,34627.92,7.38,37.52,35,60.34,-570817.77,-16309.08,-3.86,21.14,9
9 (DGW),224698.83,44.94,7.73,3.51,45.48,-57236.25,-14.41,-110230.04,-20.12,2.04,0.17,2.26,3.03,4.4,27963.52,0.08,4.24,-0.45,0.62,0.005,27,8322.18,4.17,22.15,11,40.74,335495.93,30499.63,16.64,33.73,16,59.26,-110797.09,-6924.82,-4.4,14.19,8
9 (FPT),224393.17,44.88,33.73,3.51,10.41,-150780.96,-29.47,-346372.15,-37.28,0.65,0.09,0.28,1.38,1.69,75458.76,0.44,15.44,-0.12,0.04,0.0266,60,3739.89,0.62,25.78,27,45,810245.2,30009.08,7.06,34.26,33,55,-585852.03,-17753.09,-4.64,18.85,8
10 (VGI),224230.19,44.85,6.1,3.51,57.56,-105094.8,-20.65,-163680.94,-18.81,1.37,0.19,3.06,3.11,1.56,60006.53,0.23,4.39,-0.43,1.67,0.014,9,24914.47,9.62,22.56,6,66.67,330333.36,55055.56,16.76,30.5,3,33.33,-106103.17,-35367.72,-4.67,6.67,9
2 (DAH),223745.61,44.75,11.26,3.5,31.1,-317202.48,-29.92,-354741.52,-38.37,0.63,0.09,0.81,2.04,3.57,94558.88,0.07,17.96,-0.11,0.41,0.0039,22,10170.26,2.82,23.77,8,36.36,438474.64,54809.33,16.7,47.63,14,63.64,-214729.03,-15337.79,-5.11,10.14,1
5 (DBC),223605.95,44.72,9.06,3.5,38.63,-122355.89,-49.78,-219113.48,-24.66,1.02,0.14,1.57,2.06,3.13,42917.25,0.3,9.27,-0.2,0.38,0.0177,53,4218.98,3.45,23.91,21,39.62,435491.31,20737.68,16.89,35.43,32,60.38,-211885.36,-6621.42,-5.37,16.34,4
3 (SHS),222783.65,44.56,24,3.49,14.53,-139449.97,-32.83,-350980.22,-37.86,0.63,0.09,0.38,1.26,2.9,90455.88,0.54,25.53,-0.07,0.39,0.0326,66,3375.51,2.79,18.42,20,30.3,1074301.73,53715.09,25.19,34.9,46,69.7,-851518.08,-18511.26,-6.95,11.26,2
11 (SHS),222667,44.53,18.84,3.49,18.51,-302603.7,-46.67,-541931.52,-52.64,0.41,0.07,0.35,1.34,2.05,134384.53,0.14,24.52,-0.08,0.48,0.0084,48,4638.9,5.03,33.67,19,39.58,872771.22,45935.33,24.56,37.53,29,60.42,-650104.22,-22417.39,-7.77,31.14,10
1 (BMI),222342.9,44.47,8.61,3.48,40.45,-61782.51,-11.25,-68001.97,-12.34,3.27,0.28,3.28,3.52,5.38,24191.73,0.47,4.25,-0.45,0.41,0.0284,43,5170.77,1.37,18.47,17,39.53,310639.65,18272.92,9.09,33.88,26,60.47,-88296.75,-3396.03,-3.68,8.38,0
4 (PVT),222364.23,44.47,32.91,3.48,10.58,-186711.65,-54.03,-350227.86,-44.58,0.63,0.08,0.24,1.26,2.22,77798.83,0.4,20.99,-0.09,0.39,0.0241,58,3833.87,2.96,26.26,21,36.21,1075920.34,51234.3,18.94,40.24,37,63.79,-853556.11,-23069.08,-6.11,18.32,3
4 (CTR),222225.46,44.45,5.61,3.48,62.02,-102073.52,-26.61,-141875.74,-18.76,1.57,0.19,3.31,3.75,1.87,46111.06,0.2,3.63,-0.53,1.6,0.0121,9,24691.72,13.03,27.67,6,66.67,303041.53,50506.92,21.56,30.83,3,33.33,-80816.08,-26938.69,-4.05,21.33,3
7 (PLC),222210.33,44.44,5.89,3.48,59.1,-56146.22,-17.75,-69272.06,-11.06,3.21,0.31,5.34,2.82,2.15,19687.51,0.46,9.15,-0.21,1.17,0.0279,30,7407.01,6.63,26.7,17,56.67,344597.29,20270.43,16.01,37.41,13,43.33,-122386.96,-9414.38,-5.64,12.69,6
1 (HDG),221036.75,44.21,9.3,3.47,37.25,-49180.56,-21.2,-98307.94,-15.3,2.25,0.23,2.43,2.3,2.84,21968.15,0.35,6.14,-0.32,0.94,0.0213,38,5816.76,3.76,19.84,17,44.74,391406.13,23023.89,14.18,35.12,21,55.26,-170369.38,-8112.83,-4.68,7.48,0
8 (DRH),220709.52,44.14,16.25,3.46,21.3,-281826.05,-45.71,-591153.1,-58.07,0.37,0.06,0.37,1.45,1.77,109365.98,0.15,25.72,-0.08,0.36,0.0087,40,5517.74,6.35,30.95,18,45,709104.59,39394.7,26.4,32.44,22,55,-488395.07,-22199.78,-10.06,29.73,7
1 (FPT),220660.55,44.13,42.9,3.46,8.07,-138546.54,-16.87,-242564.54,-33.17,0.91,0.1,0.24,1.31,1.99,66003.62,0.52,18.99,-0.1,0.36,0.0313,78,2828.98,1.29,21.47,31,39.74,925296.12,29848.26,8.44,38.48,47,60.26,-704635.57,-14992.25,-3.44,10.26,0
3 (NVL),220082.65,44.02,15.76,3.45,21.91,-84735.01,-11.63,-205990.53,-25.98,1.07,0.13,0.84,1.94,3.45,52012.29,0.33,8.75,-0.22,0.67,0.0196,25,8803.31,1.71,17.96,9,36,454561.14,50506.79,8.98,31.33,16,64,-234478.49,-14654.91,-2.37,10.44,2
1 (DL1),219031.7,43.81,0.95,3.44,362.94,-77240.88,-18.84,-77240.88,-9.77,2.84,0.35,37.15,35.27,35.27,61537.92,0.4,4.68,-0.42,2.53,0.0239,2,109515.85,96.69,34,1,50,225423.95,225423.95,199.51,59,1,50,-6392.24,-6392.24,-6.13,9,0
5 (TCM),217886.77,43.58,25.02,3.42,13.69,-149484.37,-18.47,-444503.28,-42.48,0.49,0.08,0.32,1.24,1.86,90362.5,0.32,22.18,-0.09,0.75,0.0193,55,3961.58,4.82,22.87,22,40,1136499.57,51659.07,20.14,40.86,33,60,-918612.8,-27836.75,-5.39,10.88,4
9 (VND),217785.81,43.56,23.96,3.42,14.28,-161369.68,-38.46,-266187.24,-48.35,0.82,0.07,0.3,1.49,1.98,61366.31,0.53,17.75,-0.11,0.38,0.0317,49,4444.61,2.85,32.18,21,42.86,664039.87,31620.95,14.9,45.24,28,57.14,-446254.07,-15937.65,-6.19,22.39,8
3 (DLG),217663.48,43.53,30.57,3.42,11.19,-315262.42,-85,-677716.78,-52.39,0.32,0.07,0.21,1.2,2.4,134599.3,0.39,24.96,-0.08,0.02,0.0235,60,3627.72,0.51,20.72,20,33.33,1305806.43,65290.32,15.33,29.85,40,66.67,-1088142.94,-27203.57,-6.9,16.15,2
7 (NVL),217471.25,43.49,16.62,3.42,20.57,-83856.93,-18.21,-195873.24,-24.68,1.11,0.14,0.83,2.01,2.46,52175.13,0.28,9.54,-0.21,0.47,0.0167,20,10873.56,1.82,24.85,9,45,432237.44,48026.38,8.73,31.22,11,55,-214766.19,-19524.2,-3.84,19.64,6
9 (VIG),216210.55,43.24,7.08,3.4,48.03,-113086.8,-50,-120217.83,-15.54,1.8,0.22,3.09,2.06,5.87,48764.34,0.55,10.4,-0.19,0.2,0.0332,54,4003.9,1.82,24.22,14,25.93,421014.18,30072.44,27.53,32.86,40,74.07,-204803.63,-5120.09,-7.18,21.2,8
6 (GVR),216214.16,43.24,6.28,3.4,54.16,-88794.6,-25.7,-127405.58,-20.17,1.7,0.17,2.69,4.12,2.25,30891.57,0.17,3.45,-0.58,1.06,0.0104,17,12718.48,3.69,21.24,11,64.71,285427.8,25947.98,9.17,23.64,6,35.29,-69213.64,-11535.61,-6.35,16.83,5
5 (DPG),215752.42,43.15,6.15,3.39,55.23,-140778.76,-23.28,-222193.9,-30.06,0.97,0.11,1.84,3.14,3.67,28024.76,0.23,6.51,-0.31,1.29,0.0136,13,16596.34,5.67,21.85,6,46.15,316413.54,52735.59,17.33,34.5,7,53.85,-100661.12,-14380.16,-4.31,11,4
3 (DRH),215506.68,43.1,13.56,3.39,25.02,-207765.04,-47.33,-661622.83,-56.43,0.33,0.06,0.44,1.33,2.82,158861.06,0.23,25.99,-0.08,0.37,0.0138,50,4310.13,4.76,21.62,16,32,875392.45,54712.03,29.92,35,34,68,-659885.78,-19408.41,-7.08,15.32,2
2 (PC1),215124.95,43.02,7.53,3.39,45,-48598.81,-14.65,-94360.62,-16.45,2.28,0.21,2.74,3.18,7.06,31744.48,0.16,5.02,-0.4,0.23,0.0096,29,7418.1,0.78,14.83,9,31.03,313865.8,34873.98,8.98,25.44,20,68.97,-98740.84,-4937.04,-2.91,10.05,1
7 (DBC),215059.07,43.01,7.74,3.39,43.75,-138571.73,-50.1,-163374.97,-19.21,1.32,0.18,2.28,2.38,3.21,47232.09,0.09,8.22,-0.24,0.35,0.0053,54,3982.58,3.55,24.2,23,42.59,370509.44,16109.11,16.72,33.3,31,57.41,-155450.37,-5014.53,-6.22,17.45,6
6 (TNA),214693.1,42.94,3.17,3.38,106.63,-203916.85,-21.77,-224143.19,-23.91,0.96,0.14,4.46,7.18,14.37,62245.27,0.15,6.16,-0.33,0.68,0.0093,9,23854.79,4.38,25,3,33.33,249417.57,83139.19,23.92,43,6,66.67,-34724.47,-5787.41,-5.39,16,5
2 (STB),214238.58,42.85,39.7,3.37,8.5,-143606.25,-20,-414175.99,-44.3,0.52,0.08,0.19,1.23,2.61,88979.9,0.15,23.23,-0.09,0.33,0.0089,72,2975.54,1.1,17.63,23,31.94,1163920.66,50605.25,10.35,32.87,49,68.06,-949682.09,-19381.27,-3.24,10.47,1
3 (VIB),213881.71,42.78,6.76,3.37,49.84,-81332.52,-14.89,-96207.62,-17.82,2.22,0.19,2.8,3.55,7.81,14759.28,0.06,2.82,-0.72,0.48,0.0034,16,13367.61,2.1,21.38,5,31.25,297728.87,59545.77,15.25,34,11,68.75,-83847.16,-7622.47,-3.88,15.64,2
1 (BCC),213391.17,42.68,9.55,3.36,35.22,-144801.93,-19.35,-176442.81,-22.88,1.21,0.15,1.54,2.48,4.21,35552.33,0.61,12.51,-0.16,0.62,0.0364,54,3951.69,2.49,18.24,20,37.04,357878.28,17893.91,12.5,32.8,34,62.96,-144487.11,-4249.62,-3.39,9.68,0
11 (VCI),213025.18,42.61,5.75,3.36,58.44,-113139.81,-46.62,-149786.78,-19.84,1.42,0.17,2.95,3.02,6.05,52868.65,0.36,5.37,-0.38,-0.31,0.0216,15,14201.68,-0.88,27.27,5,33.33,318321.11,63664.22,14.63,30.4,10,66.67,-105295.94,-10529.59,-8.64,25.7,10
7 (FCN),212728.7,42.55,19.72,3.35,17.01,-120181.8,-32.21,-490632.82,-44.86,0.43,0.07,0.38,1.36,2.14,141198.24,0.19,20.91,-0.1,0.09,0.0116,49,4341.4,0.75,22.9,19,38.78,810745.16,42670.8,9.43,27.11,30,61.22,-598016.46,-19933.88,-4.74,20.23,6
4 (KDH),212520.39,42.5,16.06,3.35,20.87,-77792.67,-28.45,-83880.61,-11.52,2.53,0.29,1.81,2.58,4.08,49549.96,0.34,6.36,-0.32,0.25,0.0206,62,3427.75,1.05,20.69,24,38.71,347398.64,14474.94,8.41,33.88,38,61.29,-134878.24,-3549.43,-3.6,12.37,3
4 (TNT),212235.9,42.45,5.96,3.35,56.19,-113706.18,-34.04,-117097.29,-14.63,1.81,0.23,3.84,3.17,4.52,46691.16,0.64,9.33,-0.22,0.83,0.0384,51,4161.49,8.5,21.31,21,41.18,310202.54,14771.55,28.38,37.52,30,58.82,-97966.64,-3265.55,-5.42,9.97,3
3 (TIG),212116.47,42.42,13.8,3.35,24.24,-93643.44,-56.43,-208622.73,-41.72,1.02,0.08,0.58,1.53,3.14,88418.22,-0.09,22.77,-0.09,0.02,-0.0051,52,4079.16,0.45,17.67,17,32.69,615159.99,36185.88,16.62,28.35,35,67.31,-403043.52,-11515.53,-7.41,12.49,2
11 (KDC),211957.25,42.39,29.24,3.34,11.44,-80061.37,-16.1,-148497.72,-29.09,1.43,0.11,0.39,1.62,2,48410.13,0.08,14.93,-0.14,0.47,0.005,47,4509.73,2.88,26.3,21,44.68,555866.99,26469.86,11.41,35.33,26,55.32,-343909.74,-13227.3,-4.01,19,10
6 (HSG),210735.26,42.15,30.01,3.33,11.09,-314931.96,-54.33,-653784.67,-76.97,0.32,0.04,0.14,1.29,1.84,120993.05,-0.06,29.68,-0.07,0.58,-0.0034,51,4132.06,5.66,31.02,21,41.18,939055.11,44716.91,23.5,47.29,30,58.82,-728319.85,-24277.33,-6.82,19.63,5
5 (NRC),210745.7,42.15,2.17,3.33,153.11,-78741.61,-16,-78741.61,-12.61,2.68,0.26,12.14,206.85,206.85,27815.25,0.09,0.87,-2.39,2.11,0.0053,2,105372.85,28.2,47.5,1,50,211769.49,211769.49,57.78,70,1,50,-1023.79,-1023.79,-1.38,25,4
8 (NVB),209934.73,41.99,8.28,3.32,40.03,-62145.79,-15.94,-96387.52,-12.56,2.18,0.26,3.19,3.69,3.32,60244.71,0.33,3.21,-0.65,0.93,0.0199,19,11049.2,3.22,29.16,10,52.63,287938.71,28793.87,8.49,36.7,9,47.37,-78003.98,-8667.11,-2.62,20.78,7
10 (MBB),209422.55,41.88,30.62,3.31,10.81,-266567.34,-35.17,-458609.74,-48.27,0.46,0.07,0.22,1.4,1.24,64637.56,0.38,17.77,-0.12,0.6,0.0229,47,4455.8,2.4,27.13,25,53.19,727796.04,29111.84,7.88,34.92,22,46.81,-518373.49,-23562.43,-3.82,18.27,9
9 (SSI),209289.8,41.86,55.73,3.31,5.94,-269406.64,-38.33,-412861.22,-61.62,0.51,0.05,0.1,1.26,1.48,81798.4,0.68,26.53,-0.08,0.21,0.0408,50,4185.8,1.58,31.62,23,46,1007291.32,43795.27,10.3,42.57,27,54,-798001.53,-29555.61,-5.84,22.3,8
9 (HVN),208867.33,41.77,14.77,3.3,22.35,-317757.74,-48.28,-533401.91,-52.72,0.39,0.06,0.42,1.94,1.46,85749.24,0.31,13.17,-0.16,0.48,0.0188,14,14919.09,3.01,31.29,8,57.14,430771.67,53846.46,9.27,33.75,6,42.86,-221904.34,-36984.06,-5.33,28,8
3 (KDC),208803.89,41.76,26.33,3.3,12.54,-81371.74,-21.31,-134234.45,-24.77,1.56,0.13,0.51,1.53,2.48,40669.49,0.53,13.3,-0.16,0.53,0.0319,55,3796.43,2.48,23.35,21,38.18,603478.41,28737.07,12.45,38.86,34,61.82,-394674.52,-11608.07,-3.67,13.76,2
7 (VGI),208090.04,41.62,6.54,3.29,50.35,-103096.8,-20.65,-156170.08,-18.5,1.33,0.18,2.72,2.73,1.82,55810.14,0.25,4.5,-0.47,1.33,0.0147,10,20809,8.16,21,6,60,328669.5,54778.25,16.39,29.5,4,40,-120579.46,-30144.87,-4.19,8.25,6
5 (CTD),208018.01,41.6,20.8,3.29,15.82,-169249.14,-19.03,-208801.82,-25,1,0.13,0.63,1.59,1.59,50710.67,0.5,8.6,-0.25,0.45,0.0301,24,8667.42,1.74,27.04,12,50,561203.03,46766.92,8.62,37.25,12,50,-353185.02,-29432.08,-5.14,16.83,4
5 (TNA),207325.84,41.47,3.81,3.28,86.08,-210146.49,-21.77,-266004.17,-27.54,0.78,0.12,3.13,4.2,5.26,61765.08,0.17,6.75,-0.31,0.74,0.0101,9,23036.2,4.92,26,4,44.44,272032.99,68008.25,18.34,39.5,5,55.56,-64707.15,-12941.43,-5.81,15.2,4
8 (HT1),207240.31,41.45,13.32,3.28,24.63,-80701.21,-29.22,-200422.2,-24.67,1.03,0.13,1,2.01,2.37,61082.93,0.4,11.76,-0.18,0.25,0.024,48,4317.51,1.41,23.83,22,45.83,412890.46,18767.75,9.53,31.64,26,54.17,-205650.15,-7909.62,-5.47,17.23,7
9 (VGI),207238.68,41.45,5.41,3.28,60.57,-86373.54,-20.65,-135589.29,-16.48,1.53,0.2,3.67,3.86,2.57,46152.68,0.22,4.04,-0.52,1.59,0.0134,10,20723.87,7.76,19,6,60,279810.81,46635.13,15.24,27.5,4,40,-72572.13,-18143.03,-3.46,6.25,8
9 (CMX),206968.62,41.39,4.69,3.28,69.91,-99005.03,-31.6,-168216.98,-24.06,1.23,0.14,2.91,4.24,6.37,22976.72,0.23,6.01,-0.35,0.3,0.0135,20,10348.43,1.79,23.95,8,40,270757.78,33844.72,14.68,34.38,12,60,-63789.16,-5315.76,-6.81,17,8
11 (NKG),206928.28,41.39,9.3,3.28,35.22,-133165.7,-41.76,-192780.03,-29.21,1.07,0.11,1.21,2.52,2.52,28383.98,0.42,7.26,-0.29,0.67,0.0252,34,6086.13,3.34,24.65,17,50,342669.53,20157.03,11.95,32.94,17,50,-135741.26,-7984.78,-5.27,16.35,10
9 (KBC),206923.45,41.38,44.21,3.28,7.41,-187073.76,-52.38,-429776.98,-57.19,0.48,0.06,0.13,1.19,2.2,143360.87,0.26,25.41,-0.08,0.18,0.0155,54,3831.92,1.46,24.89,19,35.19,1271859.05,66939.95,14.9,37.05,35,64.81,-1064935.59,-30426.73,-5.84,18.29,8
9 (NT2),206752.78,41.35,20.13,3.27,16.26,-80909.19,-16.16,-144888.25,-19.03,1.43,0.17,0.85,1.91,2.79,48668.62,0.5,7.07,-0.3,0.25,0.0302,32,6461.02,1.07,25.94,13,40.63,433366.5,33335.88,7.29,38.46,19,59.38,-226613.72,-11927.04,-3.19,17.37,8
6 (SZC),206684.95,41.34,4.72,3.27,69.38,-57570.33,-16.55,-108019.78,-17.36,1.91,0.19,4,4.65,4.65,30266.02,0.17,3.43,-0.62,1.17,0.0103,8,25835.62,4.9,24.25,4,50,263251.38,65812.84,14.36,35,4,50,-56566.43,-14141.61,-4.57,13.5,5
4 (MBB),206632.97,41.33,32.33,3.27,10.12,-171263.52,-17.52,-369374.16,-37.78,0.56,0.09,0.27,1.37,1.97,76269.58,0.41,13.31,-0.16,0.59,0.0244,56,3689.87,1.97,22.21,23,41.07,758167.29,32963.8,8.8,39.3,33,58.93,-551534.32,-16713.16,-2.79,10.3,3
10 (TVC),206169.09,41.23,15.12,3.27,21.6,-166914.78,-28.41,-367310.81,-50.32,0.56,0.06,0.43,1.77,4.01,75319.02,-0.01,24.58,-0.09,0.32,-0.0003,36,5726.92,2.03,23.69,11,30.56,475472.82,43224.8,16.47,39.45,25,69.44,-269303.72,-10772.15,-4.32,16.76,9
8 (FPT),205210.62,41.04,35.95,3.25,9.05,-126973.44,-21.57,-271376.21,-35.2,0.76,0.09,0.26,1.36,1.6,62388.02,0.4,15.59,-0.14,0.33,0.0239,61,3364.11,1.36,24.13,28,45.9,775750.08,27705.36,7.85,36.32,33,54.1,-570539.47,-17289.07,-4.14,13.79,7
4 (BMI),205142.68,41.03,7.27,3.25,44.72,-82376.68,-14.41,-82376.68,-11.67,2.49,0.28,3.83,6.23,5.9,22087.3,0.76,2.84,-0.76,0.6,0.0456,37,5544.4,1.95,22.38,19,51.35,244355.19,12860.8,7.54,29.95,18,48.65,-39212.51,-2178.47,-3.96,14.39,3
7 (TCM),204699.49,40.94,24.97,3.25,13,-150460.13,-32.14,-499050.94,-47.49,0.41,0.07,0.27,1.24,2.1,89449.41,0.36,20.74,-0.1,0.66,0.0215,54,3790.73,4.45,23.44,20,37.04,1071731,53586.55,20.81,40.3,34,62.96,-867031.51,-25500.93,-5.17,13.53,6
10 (HDC),204147.84,40.83,7.85,3.24,41.23,-87225.06,-28.47,-217721.58,-28.69,0.94,0.11,1.44,2.31,2.31,35763.07,0.26,6.5,-0.33,0.5,0.0154,30,6804.93,2.25,26.3,15,50,359707.17,23980.48,8.85,31.6,15,50,-155559.34,-10370.62,-4.34,21,9
9 (BMI),203975.32,40.8,5.98,3.24,54.14,-56955.75,-16.13,-63928.08,-9.12,3.19,0.35,5.93,7.46,5.1,19979.45,0.67,2.29,-0.94,0.88,0.0404,32,6374.23,3.14,25.06,19,59.38,235572.63,12398.56,8.16,29.63,13,40.63,-31597.31,-2430.56,-4.18,18.38,8
8 (HUT),203818.22,40.76,28.28,3.23,11.43,-221236.92,-45.94,-808486.58,-67.26,0.25,0.05,0.17,1.24,2.06,162322.84,0.03,30.65,-0.07,0.02,0.0016,48,4246.21,0.64,27.29,18,37.5,1064616.86,59145.38,11.98,34.5,30,62.5,-860798.64,-28693.29,-6.17,22.97,7
8 (VIG),203644.51,40.73,8.6,3.23,37.58,-116283.6,-50,-159601.29,-21.83,1.28,0.15,1.72,1.94,6.28,51828.89,0.5,12.55,-0.17,0.12,0.0302,55,3702.63,1.19,23.2,13,23.64,419389.53,32260.73,29.07,34.69,42,76.36,-215745.02,-5136.79,-7.44,19.64,7
8 (VPB),202435.91,40.49,14.68,3.21,21.9,-103043.34,-14.89,-208971.64,-28.44,0.97,0.11,0.77,1.74,2.03,50597.93,0.27,9.47,-0.23,0.6,0.016,13,15571.99,3.92,32.46,6,46.15,475222.61,79203.77,15.5,48,7,53.85,-272786.7,-38969.53,-6,19.14,7
11 (MSR),201991.57,40.4,5.7,3.21,56.27,-299840.79,-40.82,-327361.27,-32.1,0.62,0.1,1.75,2.47,4.11,49040.42,0.54,16.19,-0.14,0.39,0.0325,24,8416.32,2.98,23.29,9,37.5,339765.86,37751.76,17.23,30.78,15,62.5,-137774.29,-9184.95,-5.57,18.8,10
4 (VGC),201581.4,40.32,14.16,3.2,22.61,-110807.39,-23.04,-270429.72,-35.7,0.75,0.09,0.63,1.7,1.58,38732.52,0.35,10.91,-0.2,0.65,0.0213,27,7465.98,2.76,24.15,14,51.85,488015.31,34858.24,11.17,31.43,13,48.15,-286433.92,-22033.38,-6.28,16.31,3
11 (TCM),201476.25,40.3,28.11,3.2,11.39,-213882.21,-45.47,-398090.35,-44.13,0.51,0.07,0.26,1.34,1.65,82629.21,0.39,22.75,-0.1,0.57,0.0237,49,4111.76,4.34,28.49,22,44.9,790449.59,35929.53,17.71,42.59,27,55.1,-588973.34,-21813.83,-6.55,17,10
11 (PVS),200725.85,40.15,46,3.19,6.94,-448999.5,-45.45,-794407.49,-60.02,0.25,0.05,0.12,1.12,1.3,165632.13,0.36,34.1,-0.06,0.22,0.0215,52,3860.11,2.1,28.62,24,46.15,1908215.48,79508.98,14.55,36.71,28,53.85,-1707489.63,-60981.77,-8.58,21.68,10
8 (KVC),198632.95,39.73,8.95,3.16,35.32,-345365.74,-34.26,-357378.09,-35.45,0.56,0.09,1,1.93,3.7,78338.63,0.51,15.82,-0.14,-0.56,0.0303,35,5675.23,-1.36,20.57,12,34.29,411723.72,34310.31,10.13,23.58,23,65.71,-213090.77,-9264.82,-7.36,19,7
9 (CDO),198090.56,39.62,12.95,3.15,24.37,-281418.3,-31.25,-466309.14,-40.06,0.42,0.08,0.61,1.86,6.98,83142.67,0.35,23.42,-0.1,-0.21,0.021,19,10425.82,-1.12,35.32,4,21.05,427926.76,106981.69,28.78,91,15,78.95,-229836.2,-15322.41,-9.1,20.47,8
8 (TDH),197625.24,39.53,21.37,3.15,14.73,-249090.66,-41.52,-382994.42,-45.92,0.52,0.07,0.32,1.58,1.88,63141.08,0.5,12.49,-0.18,0.2,0.0297,46,4296.2,1.63,33.13,21,45.65,537197.6,25580.84,10.13,39.76,25,54.35,-339572.36,-13582.89,-5.51,27.56,7
6 (SHI),197275.79,39.46,14.24,3.14,22.08,-185524.35,-24.48,-219943.89,-29.01,0.9,0.11,0.76,2.01,1.93,30919.27,0.62,12.77,-0.18,0.75,0.0369,45,4383.91,2.1,20.13,23,51.11,391825.43,17035.89,7.63,27.09,22,48.89,-194549.64,-8843.17,-3.69,12.86,5
8 (APS),196555.78,39.31,10.48,3.13,29.91,-156206.43,-37.07,-226326.08,-44.25,0.87,0.07,0.68,1.65,3.85,70077.02,0.51,19.35,-0.12,0.1,0.0305,50,3931.12,0.83,21.78,15,30,499005.38,33267.03,14.9,25,35,70,-302449.59,-8641.42,-5.2,20.4,7
2 (KVC),196230.58,39.25,9.71,3.13,32.22,-391244.58,-34.26,-526989.46,-46.13,0.37,0.07,0.7,1.75,4.81,63339.55,0.5,25.34,-0.09,-0.22,0.03,45,4360.68,-0.27,15.2,12,26.67,457648.39,38137.37,11.55,23.25,33,73.33,-261417.81,-7921.75,-4.57,12.27,1
10 (MWG),195502.74,39.1,20.08,3.12,15.53,-102241.26,-21.33,-250076.36,-38.58,0.78,0.08,0.4,1.54,2.1,34677.29,-0.01,13.56,-0.17,0.82,-0.0005,26,7519.34,5.65,32.12,11,42.31,559323.35,50847.58,19.87,52.64,15,57.69,-363820.61,-24254.71,-4.78,17.07,9
3 (QCG),195352.65,39.07,16.17,3.12,19.28,-455955.91,-43.73,-1348784.4,-66.01,0.14,0.05,0.29,1.15,3.81,280598.74,0.2,39.63,-0.06,0.27,0.0122,56,3488.44,3.31,15.64,13,23.21,1475955.76,113535.06,32.68,23.69,43,76.79,-1280603.11,-29781.47,-5.57,13.21,2
1 (HCM),195365.04,39.07,20.99,3.12,14.85,-129712.98,-18.92,-255734.92,-34.05,0.76,0.09,0.44,1.26,2.42,57893.16,0.35,14.75,-0.15,0.58,0.0207,70,2790.93,3.59,19.96,24,34.29,933083.74,38878.49,19.88,39.92,46,65.71,-737718.69,-16037.36,-4.91,9.54,0
2 (VCG),195015.93,39,42.55,3.11,7.31,-267013.81,-28.82,-431910.21,-54.65,0.45,0.06,0.13,1.17,2.25,102331.37,0.26,32.94,-0.07,0.28,0.0155,79,2468.56,1.42,16.95,27,34.18,1364658.44,50542.91,13.57,29.63,52,65.82,-1169642.52,-22493.13,-4.89,10.37,1
2 (CDO),194977.23,39,13.57,3.11,22.94,-302996.7,-31.14,-558644.74,-44.59,0.35,0.07,0.51,1.67,5.28,96905.19,0.31,25.74,-0.09,-0.09,0.0186,25,7799.09,-0.19,21.28,6,24,486719.87,81119.98,24.35,67,19,76,-291742.64,-15354.88,-7.93,6.84,1
4 (DRC),194044.13,38.81,27.37,3.1,11.32,-81285.31,-33.4,-185962.33,-25.72,1.04,0.12,0.44,1.43,2.26,49886.88,0.45,12.5,-0.18,0.29,0.027,62,3129.74,2.04,20.68,24,38.71,647549.95,26981.25,12.95,31.29,38,61.29,-453505.82,-11934.36,-4.85,13.97,3
4 (PLC),193691.94,38.74,8,3.09,38.68,-85185.61,-17.75,-164593.47,-24.05,1.18,0.13,1.61,2.27,3.24,26337.39,0.5,10.39,-0.22,0.65,0.0299,34,5696.82,2.8,22.44,14,41.18,346214.2,24729.59,13.53,38.86,20,58.82,-152522.26,-7626.11,-4.72,10.95,3
11 (KMR),193653.8,38.73,8.27,3.09,37.41,-244755.34,-38.1,-244755.34,-28.58,0.79,0.11,1.31,1.9,3.47,77001.18,0.43,17.2,-0.13,0.23,0.0255,48,4034.45,2.01,27.15,17,35.42,408328.39,24019.32,16.76,31.29,31,64.58,-214674.6,-6924.99,-6.09,24.87,10
6 (SBT),193547.45,38.71,35.54,3.09,8.7,-341155.54,-33.17,-553065.59,-44.57,0.35,0.07,0.2,1.18,2,149006.95,0.44,20.28,-0.11,0.2,0.0266,70,2764.96,1.28,22.71,26,37.14,1263806.38,48607.94,10.54,36.38,44,62.86,-1070258.92,-24324.07,-4.19,14.64,5
